701,478,227,863,963,2
96,147,210,493,586,2
798,143,431,541,94,1
233,146,667,886,771,1
668,815,628,429,387,3
718,456,883,281,840,1
182,837,144,664,460,2
882,533,203,776,56,3
648,715,288,619,293,1
178,951,965,164,1,3
270,432,457,978,794,1
335,219,596,763,231,1
47,477,78,423,616,3
324,969,514,55,722,2
824,571,159,516,594,2
837,667,957,150,508,3
833,945,311,12,859,1
536,280,21,292,518,1
943,55,709,269,425,1
593,178,861,130,26,3
54,165,3,638,816,2
637,861,423,855,98,1
222,502,427,944,732,1
8,465,403,376,761,2
184,602,673,825,741,1
639,677,204,385,236,2
176,843,479,952,898,2
125,626,553,74,1000,3
302,495,294,362,169,2
131,912,803,232,852,1
117,609,290,133,357,2
207,812,788,182,494,1
954,76,257,620,844,1
287,266,195,30,344,3
440,590,324,868,969,3
831,290,228,586,971,1
567,734,460,429,689,1
864,939,191,620,431,1
905,337,200,400,77,2
304,997,141,208,615,3
19,280,187,44,639,1
280,279,275,305,123,1
866,519,331,241,972,1
27,77,860,458,643,3
486,713,917,324,855,2
466,16,897,222,731,1
712,230,215,805,341,1
300,100,292,978,115,3
938,800,911,345,49,3
98,593,43,583,684,1
348,479,406,605,595,2
892,877,592,339,615,3
203,53,995,704,927,2
991,968,886,43,883,1
733,939,71,388,56,1
249,376,830,628,812,2
4,877,743,242,266,1
95,537,106,490,518,2
870,704,430,270,327,2
402,97,283,569,638,3
537,979,966,729,8,3
399,51,285,973,509,1
662,951,947,923,112,3
71,573,9,305,351,2
240,837,836,277,177,1
513,318,709,435,367,2
553,253,980,868,26,1
848,543,171,420,73,1
449,538,720,347,500,2
42,319,830,447,727,2
165,968,151,672,452,3
1,781,142,137,157,2
907,364,776,490,502,2
146,512,87,344,233,3
478,62,55,815,283,3
751,789,112,277,483,1
189,597,866,73,397,3
607,210,327,538,68,2
337,401,557,667,642,1
249,894,84,81,643,1
896,858,568,345,157,1
362,886,558,531,735,1
865,418,866,824,370,3
14,517,514,257,129,2
845,833,998,211,684,2
289,302,416,364,920,2
383,173,991,815,368,3
652,325,903,471,224,3
757,580,974,667,620,1
946,247,684,191,332,2
63,330,199,280,608,2
752,298,95,143,134,2
987,105,747,931,413,3
510,23,385,711,701,1
326,195,651,727,85,3
214,978,396,428,14,1
646,133,388,896,971,1
849,817,294,491,397,2
854,973,274,315,897,3
666,530,683,234,439,1
