1.1107,   -2.1079,   1
-0.5498,    0.0943,  1
-0.0382,    1.8829,1
0.0555,   -0.6139,1
0.5870,   -1.2067,1
0.5453,    0.2509,1
-0.3927,   -0.6220,1
-1.1905,   -1.8785,1
-0.4240,    0.7772,1
-0.7139,    1.5846,1
-0.8883,    2.1408,1
-0.6922,    0.0993,1
1.4350,    1.2334,1
-0.7576,    0.7386,1
-1.1144,   -1.7059,1
0.6612,   -1.7296,1
-2.1381,   -0.0600,1
1.3857,    1.2178,1
-1.4951,    0.0373,1
0.8029,    0.9739,1
1.5607,    1.5862,1
0.8563,   -1.4245,1
0.0397,   -1.3799,1
1.2331,    1.7421,1
-2.0015,    0.8355,1
-0.3428,   -0.4780,1
-0.8891,    1.2634,1
0.3832,   -0.1189,1
0.4172,    1.0132,1
-0.8695,   -0.7947,1
2.9737,    3.6438,2
3.7680,    1.8649,2
0.1166,    0.9435,2
0.6896,    3.9160,2
1.2234,    2.9899,2
2.3009,    0.4150,2
3.7693,    3.8027,2
1.9450,    3.4208,2
0.9290,    3.3611,2
5.0027,    2.7870,2
1.0101,    1.8737,2
2.0751,    2.2628,2
1.9113,    3.6777,2
2.3127,    3.9130,2
1.9392,    2.3976,2
3.1218,    2.5495,2
1.7032,    1.1509,2
0.4212,    3.5322,2
2.7686,    0.9402,2
2.1696,    2.9285,2
0.3380,    2.0947,2
3.6886,    0.4054,2
2.6315,    3.1962,2
-0.5332,    3.1421,2
0.3380,    3.0801,2
1.4030,    1.1841,2
2.8739,    2.7777,2
1.1254,    3.2404,2
0.0988,    1.9522,2
0.3688,    2.8904,2
1.4758,   -1.6387,3
1.9289,   -1.8191,3
2.5741,   -1.3213,3
2.1917,   -1.2852,3
0.8358,   -2.3349,3
2.6863,   -1.8834,3
3.1102,   -0.4854,3
3.7073,   -0.6466,3
3.6394,   -0.4097,3
0.5365,   -3.6555,3
2.9295,   -0.3819,3
0.8168,   -3.1133,3
1.3432,   -1.7717,3
1.1039,   -2.2261,3
1.3754,   -2.2236,3
0.6757,   -2.5379,3
-0.2029,   -3.8420,3
2.4210,   -1.9788,3
1.0335,   -2.6042,3
0.9638,   -2.9449,3
-0.8198,   -5.4449,3
1.9552,   -1.5530,3
0.3505,   -3.1887,3
2.4943,   -1.8116,3
1.9761,   -1.0664,3
0.5994,   -3.0513,3
2.2076,   -1.6728,3
1.9941,   -1.8826,3
1.7487,   -2.9644,3
1.4160,   -2.4234,3
